Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.88099467,-80.14692017,56:21.4,10/21/21,9,0.127,313.91,-7.117706431,0.93,183.2,172.92,1.43,0.57,36.1,0.04,32.33,32.36,93,22,511.7,16.2,-1.3,D,1548.4,0,358.727,1,0,128,43.12,-80.14446913,25.88334941,0,0,1,N,343.232,66,66,11,5,5,53.27574,0,9999.99,32.34,32.467,2,9,32.8,0,32.90000153,48.43,1564.95696,10/21/21,10:32:34,26.77,70.7,48.43,1.44,7.94,-55.6,-5.5,77.8,127766,90,5.49,12.9,
25.8809965,-80.1469225,56:22.4,10/21/21,10,0.528,313.91,-7.117706431,0.87,189.8,179.6,1.49,1.82,36.1,0.04,3.47,3.51,93,22,511.7,16.2,-1.3,D,1548.4,0,358.738,1,0,128,43.17,-80.14446913,25.88334941,0,0,1,N,343.1523,64,64,11,5,5,53.34294,0,9999.99,3.48,3.607,2,9,32.8,0,32.90000153,48.43,1564.95696,10/21/21,10:32:34,26.77,70.7,48.43,1.44,7.94,-55.6,-5.5,77.8,127766,90,5.49,12.9,
25.88100199,-80.14692828,56:23.4,10/21/21,10,1.222,313.91,-7.117706431,0.87,188,177.77,1.3,-1.95,36.1,0.03,3.47,3.5,93,22,511.7,16.2,-1.4,D,1519.7,0,358.689,1,0.44,160,43.3,-80.14446913,25.88334941,0,0,1,N,343.1523,68,68,11,5,5,43.30048,0,9999.99,3.48,3.607,2,9,32.7,0,32.79999924,48.64,1564.99293,10/21/21,10:32:36,26.73,70.96,48.64,1.35,7.94,-55.6,-5.2,199.7,103853,90.2,5.5,12.7,
25.88100313,-80.14693042,56:24.4,10/21/21,10,0.668,313.91,-7.117706431,0.87,190.7,180.52,1.33,1.42,36.1,0.01,3.58,3.59,93,22,511.7,16.2,-1.4,D,1519.7,0,358.744,1,0.47,160,43.34,-80.14446913,25.88334941,0,0,1,N,343.1523,70,70,11,5,5,43.33882,0,9999.99,3.61,3.737,2,9,32.7,0,32.79999924,48.64,1564.99293,10/21/21,10:32:36,26.73,70.96,48.64,1.35,7.94,-55.6,-5.2,199.7,103853,90.2,5.5,12.7,
25.88100339,-80.14693367,56:25.4,10/21/21,10,0.77,313.91,-7.117706431,0.87,187.2,176.96,2.56,-3.28,36.1,0.01,3.58,3.59,93,22,511.7,16.2,-1.4,D,1519.7,0,358.946,1,0.41,160,43.38,-80.14446913,25.88334941,0,0,1,N,343.1523,72,72,11,5,5,43.38172,0,9999.99,3.6,3.727,2,9,32.6,0,32.59999847,39.14,1554.8638,10/21/21,10:32:38,26.72,58.65,39.14,1.383,7.94,-55.5,-4.6,191.3,157469,90.5,5.82,12.9,
25.88100052,-80.14693772,56:26.4,10/21/21,10,1.085,313.91,-7.117706431,0.87,179.9,169.6,2.75,-2.51,36.1,0.01,3.63,3.64,93,29,511.7,16.2,-1.7,D,1183.6,0,359.456,1,0.43,160,43.4,-80.14446913,25.88334941,0,0,1,N,343.1523,71,71,11,5,5,43.39571,0,9999.99,3.65,3.777,2,9,32.6,0,32.59999847,48.46,1564.4437,10/21/21,10:32:39,26.71,70.74,48.46,1.334,7.94,-55.4,-4.5,12.5,115704,90.6,5.53,13,
25.8809964,-80.1469371,56:27.4,10/21/21,10,0.971,313.91,-7.117706431,0.93,171.7,161.45,0.61,2.17,36,0.01,3.66,3.67,93,29,511.7,16.2,-1.7,D,1183.6,0,359.747,1,0.49,160,43.34,-80.14446913,25.88334941,0,0,1,N,343.1523,61,61,11,5,5,43.34063,0,9999.99,3.68,3.807,2,9,32.5,0,32.5,48.49,1564.29362,10/21/21,10:32:40,26.71,70.77,48.49,1.402,7.93,-55.4,-3,29.3,125809,90.5,5.52,12.8,
25.88099343,-80.14693806,56:28.5,10/21/21,10,0.836,313.91,-7.117706431,0.87,167.2,157.03,2.96,1.62,36.1,0.01,3.63,3.64,93,29,511.7,16.2,-1.7,D,1183.6,0,360.053,1,0.52,160,43.31,-80.14446913,25.88334941,0,0,1,N,343.1523,75,75,11,5,5,43.31688,0,9999.99,3.66,3.787,2,9,32.4,0,32.5,48.28,1564.07726,10/21/21,10:32:41,26.7,70.5,48.28,1.409,7.92,-54.3,-4.7,-3.5,53018,90.7,5.54,13.1,
25.88098848,-80.14693682,56:29.5,10/21/21,10,0.934,313.91,-7.117706431,0.87,162.8,152.75,2.58,-2.33,36.1,0.01,3.63,3.64,93,29,511.7,16.2,-1.7,D,1183.6,0,360.369,1,0.69,160,43.24,-80.14446913,25.88334941,0,0,1,N,343.1523,72,72,11,5,5,43.24406,0,9999.99,3.64,3.767,2,9,32.4,0,32.40000153,48.39,1564.00819,10/21/21,10:32:42,26.7,70.65,48.39,1.316,7.91,-53.9,-2.5,10.9,84687,90.7,5.53,13,
25.88098425,-80.14693533,56:30.5,10/21/21,10,0.611,313.91,-7.117706431,0.87,160.1,150.13,1.48,2.24,36.1,0,3.6,3.6,93,30,511.6,16.2,-1.8,D,1154.6,0,360.609,1,0.72,160,43.17,-80.14446913,25.88334941,0,0,1,N,343.1523,66,66,11,5,5,43.17693,0,9999.99,3.61,3.737,2,9,32.3,0,32.29999924,48.42,1563.85569,10/21/21,10:32:43,26.69,70.69,48.42,1.362,7.91,-53.8,9.2,-5.2,16711,90.7,5.54,13,
